,Point,Assist,Rebound,Turnover,Start Ratio,MP,FGA,FGP,3PA,3PP,FTA,FTP,Steal,Block,Height,Weight,Position,College Name,Pick
226,10.9,4.2,3.7,2.3,0.648854961832061,30.0,8.4,0.443,2.9,0.35,3.4,0.726,1.5,0.3,196.0,83.0,Guard,Villanova,47.0
227,9.3,0.8,3.5,1.5,0.5132743362831859,22.0,7.3,0.444,2.0,0.373,2.9,0.721,0.6,0.4,206.0,106.0,Forward,Marquette,50.0
228,16.1,3.7,2.6,2.3,0.5,33.5,11.8,0.452,6.3,0.377,4.0,0.755,1.5,0.2,183.0,74.0,Guard,Louisville,51.0
229,6.4,0.7,3.6,2.3,0.6428571428571429,20.5,5.2,0.466,0.0,0.5,3.0,0.518,0.5,1.9,213.0,104.0,Center,Pitt,54.0
230,15.4,5.5,3.1,2.6,1.0,32.3,11.4,0.456,5.3,0.39,3.9,0.73,2.3,0.2,185.0,86.0,Guard,Arizona,2.0
231,15.8,0.7,9.1,2.0,1.0,27.5,11.3,0.555,0.3,0.371,4.3,0.712,0.7,1.1,211.0,108.0,Forward,Kansas,3.0
232,19.0,0.9,9.9,1.8,0.9134615384615384,33.4,13.1,0.577,0.3,0.296,6.1,0.617,0.9,0.8,206.0,100.0,Forward,UNC,4.0
233,12.3,1.9,4.5,1.2,0.7766990291262136,26.0,8.5,0.547,2.6,0.368,2.8,0.705,1.1,0.8,201.0,97.0,; Half-Man/Half-Amazing),UNC,5.0
234,20.9,2.4,5.1,3.8,1.0,32.4,16.9,0.415,4.5,0.29,8.1,0.692,2.2,0.4,196.0,83.0,Guard,Saint Louis,8.0
235,14.8,1.3,8.2,2.6,0.358974358974359,29.2,10.4,0.554,0.7,0.37,4.7,0.638,0.6,3.5,211.0,99.0,Center,UNLV,13.0
236,13.8,1.5,3.7,1.9,0.6153846153846154,24.1,11.2,0.458,3.2,0.367,3.2,0.728,0.8,0.2,196.0,86.0,Forward,Arizona,14.0
237,17.9,2.3,8.0,2.9,0.9596774193548387,36.1,13.1,0.465,4.7,0.361,5.4,0.753,1.4,0.2,201.0,104.0,Forward,Georgia Tech,15.0
238,17.7,5.2,3.1,2.6,0.256198347107438,35.3,12.8,0.449,6.9,0.435,3.8,0.834,1.5,0.1,188.0,83.0,Guard,Valparaiso,16.0
239,18.8,2.0,7.0,3.1,1.0,32.9,13.8,0.488,2.5,0.358,5.9,0.747,0.8,0.6,206.0,107.0,Forward,Notre Dame,19.0
240,15.0,2.4,4.8,3.4,0.8387096774193549,26.6,12.0,0.466,2.9,0.308,4.2,0.698,1.2,0.3,198.0,88.0,Forward,Iowa,21.0
241,15.9,4.4,3.4,3.6,0.9696969696969697,33.7,12.7,0.446,4.1,0.356,4.0,0.788,1.6,0.1,183.0,79.0,Guard,Nebraska,23.0
242,13.1,1.7,4.8,2.0,0.7076923076923077,25.3,11.2,0.437,3.6,0.365,2.8,0.718,1.0,0.2,193.0,97.0,Forward,Minnesota,26.0
243,17.5,1.8,4.5,3.1,0.8125,26.5,13.0,0.491,4.4,0.305,4.9,0.688,1.5,0.6,198.0,90.0,Guard,Oregon State,28.0
244,8.7,0.5,5.7,1.5,0.4148936170212766,16.2,6.4,0.553,0.0,0.0,2.6,0.581,0.8,1.4,208.0,100.0,Center,Kentucky,29.0
245,14.8,1.7,5.9,2.7,0.8,25.1,10.6,0.515,2.1,0.274,5.4,0.603,1.1,0.4,196.0,101.0,Forward,Cincinnati,31.0
246,10.4,1.1,7.1,2.3,0.7564102564102564,26.7,6.4,0.694,0.0,0.0,3.3,0.462,0.6,2.4,208.0,111.0,Center,UCLA,33.0
247,10.8,3.0,2.5,2.0,0.5,23.8,7.6,0.455,4.3,0.403,2.6,0.849,0.7,0.0,185.0,91.0,Guard,UNC,34.0
248,16.0,0.7,9.2,3.5,0.3333333333333333,27.0,12.8,0.495,0.0,0.0,6.2,0.527,0.5,4.5,213.0,136.0,Center,Florida A&M,36.0
249,14.3,2.0,4.2,2.0,0.8494623655913979,29.7,11.5,0.438,4.4,0.354,3.4,0.821,1.5,0.4,193.0,86.0,Guard,Rhode Island,41.0
250,14.6,3.6,3.8,2.9,0.7894736842105263,30.6,10.3,0.463,4.1,0.374,4.6,0.767,1.1,0.1,190.0,91.0,Guard,Arizona,42.0
251,5.6,0.2,4.6,1.5,0.4,14.1,4.1,0.539,0.0,0.0,2.6,0.462,0.5,1.4,206.0,131.0,Center,Georgetown,43.0
252,6.5,0.5,4.4,1.5,0.38372093023255816,17.0,5.1,0.487,0.3,0.4,2.1,0.669,0.6,0.8,208.0,113.0,Forward,California,44.0
253,14.3,3.6,5.2,3.1,0.8372093023255814,32.7,11.5,0.459,3.9,0.341,3.7,0.667,1.1,0.4,198.0,96.0,Forward,UCLA,45.0
254,11.3,1.3,5.7,2.2,0.8264462809917356,24.7,8.9,0.479,1.2,0.313,3.1,0.755,0.9,1.0,206.0,107.0,Center,Indiana,46.0
255,15.3,5.7,2.8,3.4,0.728,33.6,12.4,0.412,6.5,0.371,3.9,0.705,1.6,0.0,178.0,74.0,Guard,Rhode Island,47.0
256,6.5,0.8,4.2,1.7,0.5,21.2,4.8,0.473,1.4,0.362,2.2,0.69,0.5,1.0,211.0,97.0,Forward,South Carolina,48.0
257,16.6,1.9,3.6,2.1,0.5043478260869565,27.1,12.8,0.428,6.2,0.366,4.2,0.797,0.7,0.2,190.0,95.0,Guard,Texas Tech,49.0
258,15.5,2.0,5.7,1.4,0.3770491803278688,31.2,11.8,0.48,4.7,0.377,3.1,0.774,1.0,0.5,193.0,83.0,Guard,Eastern Michigan,52.0
259,14.4,2.1,4.9,1.5,1.0,32.4,11.0,0.504,1.5,0.276,4.3,0.665,1.5,0.3,193.0,95.0,Forward,Clemson,53.0
260,9.1,1.0,6.7,1.4,0.6916666666666667,24.0,5.8,0.575,0.4,0.375,3.4,0.685,1.7,1.0,201.0,97.0,Forward,Iowa,55.0
261,14.2,1.6,6.4,2.4,0.8110236220472441,29.4,9.7,0.549,0.3,0.353,5.4,0.638,1.1,0.5,203.0,102.0,Forward,UCLA,56.0
262,13.4,2.5,7.8,3.1,0.9830508474576272,30.3,8.6,0.55,0.0,0.0,5.4,0.727,1.4,0.4,203.0,111.0,Center,Xavier,57.0
263,10.6,0.6,6.6,2.2,0.5238095238095238,23.5,6.0,0.627,0.0,0.0,4.9,0.648,0.7,1.1,206.0,97.0,Forward,Michigan,58.0
264,16.2,0.9,8.9,1.7,0.9166666666666666,27.3,9.7,0.612,0.0,0.0,6.5,0.672,1.4,1.9,203.0,124.0,Center,Duke,1.0
265,17.0,4.5,4.5,3.0,0.9705882352941176,30.7,11.5,0.523,3.4,0.388,4.6,0.79,2.8,0.2,190.0,88.0,,Maryland,2.0
266,13.6,5.1,3.8,3.2,0.9661016949152542,31.0,9.7,0.503,3.1,0.328,4.5,0.631,2.5,0.4,190.0,94.0,Guard,UCLA,3.0
267,17.6,3.8,9.4,3.4,1.0,34.9,13.2,0.482,3.1,0.33,5.7,0.687,0.8,1.5,208.0,99.0,Forward,Rhode Island,4.0
268,18.7,1.2,9.3,1.4,0.9655172413793104,32.9,14.4,0.529,2.3,0.299,3.8,0.73,2.5,1.9,201.0,99.0,Forward,UNLV,9.0
269,11.3,3.8,2.3,2.4,0.3643410852713178,25.1,8.6,0.443,4.0,0.374,2.9,0.784,1.9,0.1,188.0,79.0,Guard,Arizona,10.0
270,14.5,1.9,2.9,1.5,0.9485294117647058,28.8,10.1,0.451,5.9,0.426,3.3,0.862,0.9,0.2,190.0,89.0,Guard,Duke,11.0
271,10.6,1.5,3.9,2.1,0.07692307692307693,17.7,6.7,0.525,2.2,0.345,4.0,0.716,0.7,0.4,198.0,98.0,Forward,Duke,13.0
272,8.6,0.7,6.6,1.6,0.3813559322033898,22.7,6.8,0.451,1.2,0.264,3.5,0.625,0.4,1.9,208.0,111.0,Forward,Old Dominion,17.0
273,15.3,1.7,8.4,2.6,0.43157894736842106,30.7,9.3,0.527,2.3,0.329,5.9,0.808,2.3,0.7,203.0,97.0,Forward,Xavier,18.0
274,12.7,1.5,4.0,1.5,0.48031496062992124,23.4,10.4,0.46,2.9,0.344,2.9,0.723,1.4,0.7,201.0,97.0,Forward,Minnesota,19.0
275,18.4,2.6,5.0,3.6,1.0,35.2,15.2,0.441,5.0,0.271,5.6,0.64,2.1,0.2,196.0,103.0,Guard,Georgia Tech,20.0
276,15.7,2.1,8.4,2.9,0.7317073170731707,32.0,10.1,0.537,1.5,0.353,5.9,0.74,0.9,1.9,201.0,118.0,Forward,New Mexico,22.0
277,14.9,0.7,7.4,2.7,0.7391304347826086,29.3,12.4,0.476,0.6,0.278,4.5,0.644,1.1,1.9,201.0,96.0,Forward,Miami (FL),25.0
278,15.3,4.4,4.0,3.5,0.941747572815534,34.3,12.7,0.423,3.9,0.334,4.7,0.699,2.3,0.3,190.0,83.0,Guard,Pitt,26.0
279,16.6,1.0,9.0,2.2,0.9692307692307692,31.8,13.2,0.449,4.0,0.351,4.4,0.751,1.0,0.6,203.0,98.0,Forward,Georgia,27.0
280,10.3,2.0,5.3,1.7,0.8114754098360656,24.4,7.7,0.449,3.4,0.364,2.7,0.759,1.2,0.6,206.0,108.0,Forward,Kentucky,28.0
281,9.9,3.6,2.8,2.7,0.3629032258064516,26.7,8.3,0.41,3.5,0.33,2.7,0.731,1.3,0.2,193.0,80.0,Guard,Villanova,30.0
282,9.4,1.2,9.5,2.5,0.8984375,29.3,5.9,0.53,0.1,0.0,5.6,0.57,1.2,2.1,206.0,111.0,Forward,Tulsa,32.0
283,16.1,1.8,8.9,2.8,0.8660714285714286,30.8,9.3,0.595,0.0,0.0,7.7,0.655,0.8,1.2,211.0,115.0,Center,Northwestern,34.0
284,11.3,0.9,6.4,2.0,0.7280701754385965,29.0,8.6,0.507,0.1,0.091,3.6,0.707,0.6,3.8,211.0,104.0,Center,Penn State,35.0
285,12.5,2.3,4.6,2.5,0.768,27.1,9.8,0.474,2.6,0.322,3.4,0.684,2.0,0.6,196.0,92.0,Forward,Maryland,38.0
286,8.6,0.8,6.4,1.3,0.7244094488188977,22.7,6.5,0.525,0.0,0.0,3.3,0.548,0.7,0.8,208.0,102.0,Center,Arizona,39.0
287,5.5,0.5,5.0,1.2,0.7241379310344828,19.1,4.8,0.477,0.0,0.0,1.7,0.51,0.8,1.2,213.0,106.0,Center,California,41.0
288,23.9,2.2,9.1,3.1,0.9841269841269841,32.6,17.7,0.532,0.3,0.294,6.7,0.728,1.5,1.0,206.0,107.0,Forward,TCU,43.0
289,7.4,3.4,2.4,1.4,0.5774647887323944,23.6,5.2,0.445,2.5,0.407,2.2,0.802,1.0,0.2,196.0,86.0,Guard,Kansas,45.0
290,15.2,0.4,8.5,1.0,0.7217391304347827,24.2,9.2,0.664,0.0,0.0,4.5,0.66,0.6,1.2,213.0,127.0,Center,Washington,47.0
291,12.2,0.8,7.0,1.8,0.9361702127659575,28.1,9.9,0.499,0.0,0.0,3.9,0.603,0.4,2.2,206.0,125.0,Center,UMass,49.0
292,11.7,1.4,8.1,1.9,0.9090909090909091,25.9,8.4,0.503,0.0,0.0,4.2,0.768,0.4,1.3,213.0,99.0,Center,Stanford,56.0
293,13.4,0.7,7.0,2.5,0.8,26.6,9.0,0.56,0.7,0.242,5.1,0.613,1.3,2.6,206.0,102.0,Forward,LSU,2.0
